ID,Pos_Count,Con_Count,P_r1_on,P_r1_dur,P_elab_on,P_elab_dur,P_r2_on,P_r2_dur,C_r1_dur,C_r1_dur,C_elab_on,C_elab_dur,C_r2_on,C_r2_dur,r1_on,r1_dur,elab_on,elab_dur,r2_on,r2_dur,P_feel_amq,P_feel1,P_feel2,C_feel_amq,C_feel1,C_feel2,Pos_feelch,Con_feelch,Differ_feelch,P_feel_2mon,C_feel_2mon,P_feelch_2mon,C_feelch_2mon,Differ_feelch_2mon,P_int_amq,P_int1,P_int2,C_int_amq,C_int1,C_int2,Pos_intch,Con_intch,Differ_intch,P_date,C_date,hipp_pos,hipp_con,hipp_diff,nacc_pos,nacc_con,nacc_diff,vmpfc_pos,vmpfc_con,vmpfc_diff
302,11,14,1.747545455,2.097909091,2.485363636,2.858636364,1.016272727,1.553545455,1.456785714,1.763,1.249714286,1.549928571,1.101214286,1.268357143,1.58472,1.91036,1.7934,2.12576,1.06384,1.39384,1.818181818,2.454545455,3.181818182,2.071428571,2.571428571,2.642857143,0.727272727,0.071428571,0.655844156,3.545454545,3.785714286,1.090909091,1.214285714,-0.123376623,3.727272727,4.181818182,4,3.857142857,4,4.071428571,-0.181818182,0.071428571,-0.253246753,4.545454545,4,-0.024140227,-0.135910001,0.111769774,-0.19312182,-0.309748375,0.116626555,0.159325501,-0.331873259,0.491198761
303,8,9,1.4075,1.5735,1.3395,1.755875,0.999875,1.288,1.404111111,1.583222222,1.526777778,1.872555556,1.001,1.182111111,1.405705882,1.578647059,1.438647059,1.817647059,1.000470588,1.231941176,2.5,1.5,1.875,2,1.666666667,1.444444444,0.375,-0.222222222,0.597222222,,,,,,4,4.375,4.25,3.666666667,4.666666667,4.111111111,-0.125,-0.555555556,0.430555556,4.5,4.666666667,0.056343617,-0.009901475,0.066245092,-0.056343617,0.10891623,-0.165259847,0.281718085,0.069310328,0.212407757
304,12,12,3.131,3.260833333,5.518333333,5.8975,1.853666667,1.981916667,3.03475,3.157083333,3.8575,4.138833333,1.583166667,1.702666667,3.082875,3.208958333,4.687916667,5.018166667,1.718416667,1.842291667,2.5,2.583333333,3.333333333,2.416666667,2.416666667,2.75,0.75,0.333333333,0.416666667,,,,,,3.583333333,3.666666667,3.25,3.5,3.75,3.166666667,-0.416666667,-0.583333333,0.166666667,4,3.666666667,0.122197081,-0.035014949,0.157212031,-0.299938291,-0.202308596,-0.097629694,-0.344373593,-0.116716498,-0.227657095
307,10,13,3.2128,3.3917,3.1157,15.143,2.7419,2.5574,3.616153846,3.814307692,3.183153846,15.03453846,2.210461538,3.223769231,3.440782609,3.630565217,3.153826087,15.08169565,2.441521739,2.934043478,2.8,4.4,5,2.615384615,4.384615385,4.153846154,0.6,-0.230769231,0.830769231,,,,,,3.4,2.5,1.8,3.461538462,2.384615385,2.615384615,-0.7,0.230769231,-0.930769231,3.2,2.846153846,0.076277007,-0.09232989,0.168606897,0.114415511,0.178889161,-0.064473651,0,-0.020197163,0.020197163
308,13,10,2.441384615,2.596153846,2.585230769,2.988692308,1.468538462,1.623307692,2.1657,2.3156,1.7609,2.0744,1.7476,1.8544,2.321521739,2.474173913,2.226826087,2.591173913,1.589869565,1.723782609,3.230769231,3.076923077,3.461538462,3.6,3.2,3.5,0.384615385,0.3,0.084615385,3.846153846,3.3,0.769230769,0.1,0.669230769,3.076923077,3.923076923,3.538461538,2.9,3.8,3.4,-0.384615385,-0.4,0.015384615,4.230769231,4,0.518108655,0.502518908,0.015589747,-0.153724546,-0.422115882,0.268391336,-0.082555775,-0.321612101,0.239056326
309,14,8,2.111928571,2.306928571,1.882428571,2.327857143,1.097071429,1.292142857,2.13425,2.29025,1.92575,2.23925,1.22175,1.377625,2.120045455,2.300863636,1.898181818,2.295636364,1.142409091,1.323227273,2.857142857,3.214285714,3.642857143,2.375,3,3.375,0.428571429,0.375,0.053571429,,,,,,3.214285714,2.928571429,2.928571429,4,3.125,3.125,0,0,0,4.857142857,5,-0.328366283,0.086479087,-0.41484537,0.267103917,-0.135895708,0.402999625,0.017153463,-0.284145571,0.301299034
310,10,11,3.0734,3.2989,5.0009,7.1309,1.8033,2.0207,2.878636364,3.112090909,4.500909091,10.939,2.819636364,3.048181818,2.971380952,3.201047619,4.739,9.125619048,2.335666667,2.558904762,2.7,4.6,6.2,2.727272727,4.545454545,4.909090909,1.6,0.363636364,1.236363636,7,6.363636364,2.4,1.818181818,0.581818182,4.6,3.9,3,4.636363636,3.909090909,3.545454545,-0.9,-0.363636364,-0.536363636,3.5,4.090909091,-0.425998977,0.018609684,-0.444608661,-0.395129486,0.307059789,-0.702189276,-0.351912199,0.279145263,-0.631057462
311,11,11,1.260181818,1.397,5.592363636,7.492727273,1.318818182,1.454727273,1.451363636,1.581727273,3.447909091,5.259272727,1.476,1.601,1.355772727,1.489363636,4.520136364,6.376,1.397409091,1.527863636,3.545454545,3.181818182,3.636363636,3.909090909,4.181818182,3.818181818,0.454545455,-0.363636364,0.818181818,,,,,,3.636363636,3,2.090909091,3.272727273,2.636363636,2.272727273,-0.909090909,-0.363636364,-0.545454545,4.454545455,4.181818182,0.542839468,-0.613,1.155839468,0.278500249,-0.170856429,0.449356677,0.410669858,-0.673,1.083669858
312,11,15,3.171,3.360545455,3.146272727,17.139,1.329727273,1.519454545,2.666066667,2.852466667,4.489133333,12.44766667,2.0902,2.2776,2.879692308,3.067423077,3.921,14.43246154,1.768461538,1.956846154,4.454545455,3.636363636,4,4.2,4.133333333,4.466666667,0.363636364,0.333333333,0.03030303,,,,,,2.181818182,2.363636364,2.181818182,2.2,1.933333333,1.733333333,-0.181818182,-0.2,0.018181818,4.636363636,4.133333333,0.211057941,0.320351608,-0.109293667,0.427141071,-0.023440362,0.450581433,0.241209076,0.287144429,-0.045935353
317,12,14,2.446916667,2.63375,2.528666667,2.963666667,1.829916667,2.019083333,2.309142857,2.528571429,2.0165,2.397428571,1.714928571,1.822714286,2.372730769,2.577115385,2.252884615,2.658769231,1.768,1.913346154,3.5,3.75,4.333333333,3.428571429,3.928571429,3.5,0.583333333,-0.428571429,1.011904762,4.333333333,4.285714286,0.583333333,0.357142857,0.226190476,2.75,2.25,1.75,2.5,2.142857143,2.357142857,-0.5,0.214285714,-0.714285714,4.5,4.642857143,0.155621997,0.250640206,-0.095018209,0.070029899,0.071611487,-0.001581589,-0.268447945,-0.179028719,-0.089419227
